Age,Income,EmploymentYears,HomeOwnership,CreditScore,DebtToIncomeRatio,PaymentHistory,LoanAmount,LoanPurpose,Default
56,61600.0,17.7,OWN,677,0.263,3,17700.0,VENTURE,0
69,45500.0,4.0,OWN,826,0.371,0,9200.0,EDUCATION,0
46,51700.0,3.9,MORTGAGE,707,0.251,1,10900.0,DEBT_CONSOLIDATION,0
32,60200.0,8.6,OWN,556,0.305,1,1100.0,HOME_IMPROVEMENT,0
60,25500.0,4.0,MORTGAGE,815,0.145,0,9300.0,VENTURE,0
25,54000.0,0.2,OWN,638,0.199,1,13600.0,DEBT_CONSOLIDATION,1
38,154000.0,1.9,MORTGAGE,637,0.241,1,30600.0,MEDICAL,1
56,22500.0,5.4,OWN,815,0.111,2,4100.0,DEBT_CONSOLIDATION,0
75,47600.0,25.8,MORTGAGE,609,0.39,3,13700.0,EDUCATION,1
36,86000.0,5.1,RENT,647,0.529,2,28800.0,PERSONAL,0
40,57000.0,5.9,RENT,529,0.364,8,11800.0,MEDICAL,1
28,69100.0,1.7,RENT,656,0.53,1,15500.0,DEBT_CONSOLIDATION,0
28,15000.0,1.2,MORTGAGE,647,0.214,1,2000.0,DEBT_CONSOLIDATION,1
41,66100.0,1.0,MORTGAGE,628,0.646,1,10000.0,EDUCATION,0
70,33500.0,16.7,OWN,672,0.45,1,6800.0,MEDICAL,0
53,57200.0,0.1,MORTGAGE,594,0.329,4,15500.0,EDUCATION,1
57,48300.0,5.3,MORTGAGE,777,0.434,0,18100.0,VENTURE,0
41,153100.0,5.7,OWN,661,0.211,0,7700.0,VENTURE,0
20,64400.0,0.8,RENT,598,0.664,1,14100.0,HOME_IMPROVEMENT,1
39,46300.0,1.1,RENT,548,0.445,2,11700.0,DEBT_CONSOLIDATION,1
70,23000.0,35.0,OWN,663,0.498,0,7800.0,PERSONAL,0
19,52100.0,0.1,MORTGAGE,733,0.232,1,17700.0,EDUCATION,0
41,74000.0,8.5,MORTGAGE,688,0.368,0,19900.0,VENTURE,0
61,47100.0,7.2,MORTGAGE,818,0.316,1,4500.0,EDUCATION,0
47,38100.0,5.2,MORTGAGE,820,0.211,0,12100.0,VENTURE,0
55,36800.0,16.4,OWN,557,0.312,2,8900.0,VENTURE,0
19,64100.0,0.3,MORTGAGE,540,0.231,6,24700.0,HOME_IMPROVEMENT,1
38,71700.0,1.3,MORTGAGE,598,0.313,1,27400.0,DEBT_CONSOLIDATION,1
50,96800.0,13.3,MORTGAGE,716,0.33,1,21800.0,DEBT_CONSOLIDATION,1
29,29800.0,3.9,MORTGAGE,691,0.212,0,11300.0,MEDICAL,0
75,63800.0,9.7,OTHER,740,0.539,1,1600.0,DEBT_CONSOLIDATION,0
39,46100.0,1.6,RENT,577,0.497,2,17000.0,MEDICAL,1
61,46800.0,8.5,MORTGAGE,518,0.303,2,18100.0,PERSONAL,1
42,59900.0,3.5,OWN,612,0.177,1,23500.0,EDUCATION,0
66,60100.0,12.1,MORTGAGE,706,0.24,0,18900.0,EDUCATION,0
44,63900.0,18.3,RENT,672,0.367,2,5400.0,HOME_IMPROVEMENT,0
59,28900.0,7.7,OWN,759,0.239,0,11300.0,DEBT_CONSOLIDATION,0
45,33700.0,4.5,MORTGAGE,603,0.426,1,6300.0,DEBT_CONSOLIDATION,0
33,103000.0,1.7,OWN,739,0.112,1,19900.0,HOME_IMPROVEMENT,0
32,43900.0,2.3,MORTGAGE,611,0.558,3,1300.0,HOME_IMPROVEMENT,1
64,57100.0,8.0,OWN,722,0.546,1,8500.0,DEBT_CONSOLIDATION,0
68,83100.0,7.5,OWN,720,0.376,0,9300.0,VENTURE,0
61,61800.0,10.5,MORTGAGE,786,0.456,0,11700.0,DEBT_CONSOLIDATION,0
72,64400.0,6.9,RENT,552,0.479,2,7700.0,DEBT_CONSOLIDATION,1
69,76700.0,11.4,MORTGAGE,770,0.576,0,14300.0,HOME_IMPROVEMENT,0
